0 0.00701458
8 0.00321951
9 3.84118e-11
10 1.2179e-20
11 4.50117e-41
12 0.00243163
13 6.79747e-49
16 8.26721e-66
18 0.00185392
19 0.00169949
20 0.00319689
21 0.00123335
22 0.00225169
24 0.00225236
25 0.00115684
26 0.00113665
27 2.03968e-143
28 0.00228077
29 1.89384e-147
30 1.11063e-161
31 0.00108082
32 4.90937e-171
33 3.11456e-185
35 0.0010643
39 5.63163e-171
41 1.17117e-171
42 0.00250146
43 9.702e-183
44 0.0012558
45 1.35829e-193
46 0.0012567
47 3.04777e-205
48 1.30055e-250
49 0.00216385
50 0.00108218
52 3.49292e-292
53 0.00113502
54 0
55 0
56 0.00108068
57 0.00324001
58 0.00108639
59 0.000994726
62 0.00104528
65 0.0010482
67 0.00104892
68 0.00104956
69 0.0010509
71 0.00108132
72 0.00223877
75 0.0012674
76 0.01044
77 0.0141639
78 0.0182991
79 0.0347651
80 0.0375518
81 0.0319351
82 0.0416259
83 0.0459943
84 0.0825964
85 0.0641264
86 0.0841733
87 0.0634433
88 0.0792923
89 0.0702473
90 0.145647
91 0.0963763
92 0.0614672
93 0.0589853
94 0.165963
95 0.0708824
96 0.0520404
97 0.136615
99 0.247233
