0 0
1 2.63131e-15
2 4.28735e-08
3 0.00332842
4 0.000381714
5 2.88717e-10
6 0.0062609
7 2.24201e-13
8 2.14451e-17
9 3.7777e-18
10 0.00410217
11 9.30108e-12
12 1.53655e-10
13 4.24679e-05
14 0.00178728
15 3.95151e-07
16 0.00573427
17 9.88383e-12
18 0.00511404
19 5.95775e-08
20 0.00658112
21 0.00380326
22 2.59066e-07
23 1.61072e-12
24 5.61605e-11
25 9.24551e-06
26 0.000740934
27 0.000354898
28 5.14501e-05
29 1.7674e-05
30 0.00395323
31 0.000189548
32 2.7645e-15
33 0.00867374
34 6.56234e-15
35 7.56078e-15
36 1.50695e-12
37 4.1982e-15
38 6.48212e-05
39 0.000878079
40 0.00124049
41 0.00815815
42 0.00549653
43 2.52793e-10
44 1.92252e-22
45 2.1878e-18
46 5.75478e-25
47 4.75498e-33
48 1.68251e-27
49 0.00265544
50 2.83672e-07
51 1.4591e-11
52 1.76005e-23
53 3.12391e-10
54 0.00509759
55 0.00232121
56 6.09816e-13
57 0.00474851
58 0.00271085
59 1.93596e-10
60 1.71936e-28
61 5.97434e-32
62 7.12423e-51
63 6.66091e-59
64 2.83558e-34
65 7.29596e-36
66 3.108e-21
67 0.0155503
68 1.80338e-09
69 0.00928485
70 0.00635821
71 8.74747e-16
72 0.0180397
73 0.0172188
74 0.00638201
75 1.73474e-25
76 0.0279447
77 0.000841184
78 0.0821884
79 2.65534e-09
80 2.34252e-17
81 2.79571e-09
82 0.0380671
83 0.0527776
84 4.01004e-09
85 0.182139
86 0.00730205
87 0.00124645
88 0.00477813
89 5.42296e-05
90 1.36247e-08
91 0.000134428
92 0.0398254
93 0.31233
94 0.00143324
95 0.436983
96 3.97116e-12
97 9.64129e-22
98 2.08706e-40
99 0.0146592
